no,judul_proposal,judul_skripsi,prodi
1621,Pengembangan Aplikasi Portabel Sebagai Media Pembelajaran Materi Pemrograman Dasar,Pengembangan Media Pembelajaran Portabel untuk Materi Pemrograman Dasar,PTI
1622,PENGEMBANGAN SISTEM INFORMASI MANAJEMEN TRACER STUDY DI SMK MUHAMMADIYAH 1 MALANG,PENGEMBANGAN SISTEM INFORMASI MANAJEMEN TRACER STUDY DI SMK MUHAMMADIYAH 1 MALANG,PTI
1623,PENGEMBANGAN SISTEM INFORMASI MANAJEMEN TRACER STUDY BERBASIS WEB  DAN MOBILE (STUDI PADA SMK MUHAMMADIYAH 1 MALANG),PENGEMBANGAN SISTEM INFORMASI MANAJEMEN TRACER STUDY BERBASIS WEB DAN MOBILE (STUDI PADA SMK MUHAMMADIYAH 1 MALANG),PTI
1624,PENGEMBANGAN SISTEM INFORMASI MANAJEMEN TRACER STUDY BERBASIS WEB (STUDI PADA SMK MUHAMMADIYAH 1 MALANG),PENGEMBANGAN SISTEM INFORMASI MANAJEMEN TRACER STUDY BERBASIS WEB (STUDI PADA SMK MUHAMMADIYAH 1 MALANG),PTI
1625,EVALUASI LEARNING MANAGEMENT SYSTEM  MENGGUNAKAN LEARNING MANAGEMEN SYSTEM ACCEPTANCE SCALE PADA E-LEARNING EDMODO DAN GOOGLE CLASSROOM DI SMK NEGERI 2 KUPANG,,PTI
1626,PENGEMBANGAN E-MODUL PEMBELAJARAN “MEDIA INTERAKTIF” DENGAN MODEL ADDIE UNTUK SISWA KELAS X MULTIMEDIA SMK NEGERI 4 MALANG,PENGEMBANGAN E-MODUL PEMBELAJARAN “PEMROGRAMAN DASAR” DENGAN METODE RESEARCH AND DEVELOPMENT UNTUK SISWA KELAS X-A MULTIMEDIA SMK NEGERI 4 MALANG,PTI
1627,PENGEMBANGAN E-MODUL PEMBELAJARAN “PEMROGRAMAN DASAR” DENGAN METODE RESEARCH AND DEVELOPMENT UNTUK SISWA KELAS X MULTIMEDIA SMK NEGERI 4 MALANG,Pengembangan E-modul Pembelajaran “Pemrograman Dasar” Dengan Metode Research and Development (Studi Pada: SMK Negeri 4 Malang),PTI
1628,Pengembangan Media Pembelajaran Interaktif Pada Mata Pelajaran Jaringan dan Komputer Dasar Untuk Kelas X di SMK Negeri 8 Malang Menggunakan Metode APPED,Pengembangan Media Pembelajaran Interaktif Pada Mata Pelajaran Jaringan dan Komputer Dasar Untuk Kelas X di SMK Negeri 8 Malang Menggunakan Metode APPED,PTI
1629,ANALISIS FAKTOR YANG MENENTUKAN PENEMPATAN PRAKERIN BAGI KELAS XI,ANALISIS FAKTOR YANG MENENTUKAN PENEMPATAN PKL BAGI KELAS XI JURUSAN TEKNIK KOMPUTER DAN JARINGAN SMK NEGERI 2 MALANG,PTI
1630,ANALISIS FAKTOR YANG MENENTUKAN PENEMPATAN PKL BAGI KELAS XI JURUSAN TEKNIK KOMPUTER DAN JARINGAN SMK NEGERI 2 MALANG,"Analisis Persepsi Siswa, Guru, dan Dunia Usaha/Dunia Industri (DUDI) Dalam Penempatan PKL Bagi Kelas XI Jurusan Teknik Komputer  Dan Jaringan SMK Negeri 2 Malang",PTI
1631,Pengembangan Sistem Informasi Manajemen Sarana Prasarana (STUDI KASUS : SMK MUHAMMADIYAH 1 MALANG),Pengembangan Sistem Informasi Manajemen Sarana Prasarana (STUDI PADA: SMK MUHAMMADIYAH 1 MALANG),PTI
1632,Pengembangan Media Pembelajaran Video dan Modul Pada Mata Pelajaran IPA Kelas VII di SMP Katolik Frateran 21 Celaket Malang,Pengembangan E-Modul Pada Mata Pelajaran Sistem Komputer Untuk Kelas X Program Keahlian Sistem Komputer Di SMK Negeri 2 Malang Dengan Model Pengembangan 4-D,PTI
1633,PENGEMBANGAN SISTEM INFORMASI ASESMEN LEMBAGA SERTIFIKASI PROFESI BERBASIS WEB (STUDI KASUS: SMK NEGERI 4 MALANG),PENGEMBANGAN SISTEM INFORMASI ASESMEN LEMBAGA SERTIFIKASI PROFESI BERBASIS WEB (STUDI KASUS: SMK NEGERI 4 MALANG),PTI
1634,Pengembangan Sistem Informasi Asesmen Lembaga Sertifikasi Profesi Berbasis Web (Studi Kasus: SMK Negeri 4 Malang),PENGEMBANGAN SISTEM INFORMASI ASESMEN LEMBAGA SERTIFIKASI PROFESI BERBASIS WEB (STUDI KASUS: SMK NEGERI 4 MALANG),PTI
1635,"Analisis Pengaruh Penggunaan Elearning Oleh Guru Menggunakan Pendekatan Technology Acceptance Model
			  (TAM) (STUDI KASUS: SMKN 3 MALANG)",,PTI
1636,"ANALISIS FAKTOR PENGARUH PENGGUNAAN E-LEARNING
OLEH GURU MENGGUNAKAN PENDEKATAN TECHNOLOGY ACCEPTANCE MODEL (TAM) 
(STUDI KASUS: SMKN 3 MALANG)","ANALISIS FAKTOR PENGARUH PENGGUNAAN E-LEARNING
OLEH GURU MENGGUNAKAN PENDEKATAN TECHNOLOGY ACCEPTANCE MODEL (TAM) 
(STUDI KASUS: SMKN 3 MALANG)",PTI
1637,"Pengembangan Sistem Informasi Perpustakaan Menggunakan Metode Extreme Programming
Studi Kasus pada SMK 1 Muhammadiyah Malang",PENGEMBANGAN SISTEM INFORMASI PERPUSTAKAAN MENGGUNAKAN METODE EXTREME PROGRAMMING STUDI PADA SMK 1 MUHAMMADIYAH MALANG,PTI
1638,PENGEMBANGAN SISTEM INFORMASI PERPUSTAKAAN MENGGUNAKAN METODE EXTREME PROGRAMMING STUDI PADA SMK 1 MUHAMMADIYAH MALANG,ENGEMBANGAN SISTEM INFORMASI PERPUSTAKAAN MENGGUNAKAN METODE EXTREME PROGRAMMING  (STUDI PADA: SMK 1 MUHAMMADIYAH MALANG),PTI
1639,PENGEMBANGAN MEDIA PEMBELAJARAN INTERAKTIF UNTUK MATERI PELAJARAN PEMROGRAMAN DASAR DI SMK NEGERI 8 MALANG MENGGUNAKAN MODEL APPED,PENGEMBANGAN MEDIA PEMBELAJARAN INTERAKTIF UNTUK PEMBELAJARAN DENGAN METODE CERAMAH PADA MATERI PELAJARAN PEMROGRAMAN DASAR DI SMK NEGERI 8 MALANG MENGGUNAKAN MODEL APPED,PTI
1640,Pengembangan Media Pembelajaran Berbasis Multimedia Interaktif Pada Mata Pelajaran Ilmu Pengetahuan Alam Kelas 4 SD di SDI Al Hikmah Menganti Gresik,,PTI
1641,Pengembangan Media Pembelajaran Berbasis Multimedia Interaktif Tutorial Adobe Photoshop Untuk Kelas X di SMKN 4 Malang,PENGEMBANGAN MULTIMEDIA INTERAKTIF BERBASIS WEBSITE PADA MATA PELAJARAN ADOBE PHOTOSHOP UNTUK KELAS X PROGRAM KEAHLIAN MULTIMEDIA DI SMK NEGERI 4 MALANG,PTI
1642,Analisis Faktor Kesulitan Penerapan E-Learning pada SMKN 11 MALANG,PERBANDINGAN USABILITY LEARNING MANAGEMENT SYSTEM EDMODO DAN GOOGLE CLASSROOM  MENGGUNAKAN HEURISTIC WALKTHROUGH ( STUDI KASUS : SMKN 11 MALANG ),PTI
1643,Pengembangan Media Pembelajaran Berbasis WEB pada mata pelajaran Komunikasi Jaringan Dasar kelas X SMK,PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS WEB PADA MATA PELAJARAN KOMPUTER dan JARINGAN DASAR KELAS X SMK NEGERI 5 MALANG,PTI
1644,Pengembangan Media Pembelajaran Berbasis WEB Pada Mata Pelajaran Komputer dan Jaringan Dasar kelas X SMK,,PTI
1645,perbandingan Efektivitas E- Learning (Edmodo) pada pembelajaran komputer dan jaringan dasar kelas X pada jurusan Multimedia (Studi kasus : SMKN 5 Malang).,Analisis Perbandingan Model Problem Based Learning (Pbl) Berbasis Edmodo dan Google Classroom Untuk Meningkatkan Hasil Belajar dan Interaksi Guru dan Siswa Pada Pembelajaran Komputer dan Jaringan Dasar Kelas X Pada Jurusan Teknik Komputer dan Informasi (Studi Kasus : Smkn 5 Malang).,PTI
1646,Analisis Faktor-Faktor Yang Mempengaruhi Hasil Belajar Siswa/Siswi Kelas X di SMK Negeri 11 Malang,"Pengaruh Media Pembelajaran Terhadap Minat Belajar dan Motivasi Belajar Yang Akan Berdampak Pada Hasil Belajar Peserta Didik Kelas XI Dalam Pembelajaran Produktif Jurusan Multimedia
(Studi Kasus: SMK Negeri 11 Malang)",PTI
1647,"ANALISA PENGARUH KEBIASAAN BELAJAR, MINAT BELAJAR, LINGKUNGAN BELAJAR SISWA TERHADAP PRESTASI BELAJAR PEMROGRAMAN DASAR","ANALISIS PENGARUH KEBIASAAN BELAJAR, MINAT BELAJAR, LINGKUNGAN BELAJAR SISWA TERHADAP PRESTASI BELAJAR PEMROGRAMAN DASAR KELAS X TEKNIK KOMPUTER DAN JARINGAN 
(STUDI KASUS: SMKN 5 MALANG)",PTI
1648,Evaluasi Website SMK N 2 Malang Menggunakan Metode WEBQEM,,PTI
1649,Pengembangan Media Pembelajaran Interaktif Model Flash Pada Materi Sound dan Video Untuk Mengukur Pemahaman Konsep Siswa SMK,"PENGEMBANGAN MEDIA PEMBELAJARAN INTERAKTIF MATA PELAJARAN DESAN GRAFIS PERCETAKAN MENGGUNAKAN MODEL FOUR-D 
PADA SISWA SMK NEGERI 5 MALANG",PTI
1650,analisis kualitas website zenius.net menggunakan metode webqual 4.0 dan IPA (Importance Performance Analysis),EVALUASI USABILITY DAN PENGALAMAN PENGGUNA WEBSITE ZENIUS.NET MENGGUNAKAN METODE TUXEL: A Technique for User Experience Evaluation in E-learning,PTI
1651,PENGARUH PENGGUNAAN MEDIA PEMBELAJARAN INTERAKTIF MENGGUNAKAN ADOBE FLASH TERHADAP PRESTASI BELAJAR PESERTA DIDIK PADA MATA PELAJARAN KOMPUTER DAN JARINGAN DASAR (STUDI KASUS : DI SMK NEGERI 3 MALANG),PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS MULTIMEDIA INTERAKTIF PADA MATERI DESAIN JARINGAN LOKAL (LAN) DENGAN MODEL PEMBELAJARAN PROBLEM BASED LEARNING (STUDI KASUS : DI SMK NEGERI 3 MALANG),PTI
1652,Perbandingan User Experience dan Usability pada Learning Management System Moodle dan Edmodo dengan Menggunakan Metode Cognitive Walkthrough dan Metode Heuristic Evaluation,"PERBANDINGAN USABILITY PADA LEARNING MANAGEMENT SYSTEM MOODLE DAN EDMODO DENGAN MENGGUNAKAN METODE HEURISTIC WALKTHROUGH
(STUDI PADA SMKN 8 MALANG)",PTI
1653,PENGEMBANGAN MEDIA PEMBELAJARAN SISWA TKJ KELAS XI SMK MUHAMMADIYAH 2 MALANG DALAM MATA PELAJARAN KOMPUTER DAN JARINGAN DASAR MENGGUKAN MACROMEDIA FLASH,PENGEMBANGAN MEDIA PEMBELAJARAN INTERAKTIF UNTUK MATA PELAJARAN KOMPUTER DAN JARINGAN DASAR PADA SMK MUHAMMADIYAH 2 MALANG JURUSAN TEKNIK KOMPUTER DAN JARINGAN KELAS X,PTI
1654,Evaluasi User Experience pada Filkom Apps dengan Menggunakan Metode Heuristic Evaluation,EVALUASI USER EXPERIENCE PADA KAHOOT DAN SOCRATIVE MENGGUNAKAN METODE USER EXPERIENCE QUESTIONNAIRE (UEQ),PTI
1655,PENGEMBANGAN MULTIMEDIA PEMBELAJARAN INTERAKTIF PEMROGRAMAN DASAR MENGGUNAKAN MODEL APPED PADA JURUSAN MULTIMEDIA DI SMK NEGERI 4 MALANG,PENGEMBANGAN MULTIMEDIA PEMBELAJARAN INTERAKTIF PEMROGRAMAN DASAR BERDASARKAN GAYA BELAJAR VISUAL MENGGUNAKAN MODEL APPED UNTUK JURUSAN MULTIMEDIA DI SMK NEGERI 4 MALANG,PTI
1656,"Analisis Pengaruh Kebiasaan Belajar, Minat Belajar, Lingkungan Belajar Siswa Terhadap Prestasi Belajar Komunikasi Dalam Jaringan","Analisis Pengaruh Kebiasaan Belajar, Minat Belajar, Lingkungan Belajar Siswa Terhadap Prestasi Belajar Komunikasi Dalam Jaringan Kelas X Teknik Komputer Dan Jaringan ( Studi Kasus SMK 2 Malang)",PTI
1657,Efektivitas Pembelajaran Daring Menggunakan Media Online Pada Mata Pelajaran SIskomdig Siswa Kelas X Jurusan Teknik Komputer &amp; Jaringan SMK Negeri 2 Malang Dimasa Pandemi Covid-19,,PTI
1658,"Penerapan Model Direct Learning Berbantuan Kahoot untuk Meningkatkan Motivasi Belajar dan Hasil Belajar Siswa Di Kelas X Pada Mata Pelajaran Simulasi dan Komunikasi Digital 
(Studi SMK Muhammadiyah 1",Penerapan Model Direct Learning Berbantuan Kahoot untuk Meningkatkan Motivasi Belajar dan Hasil Belajar Siswa Di Kelas X Pada Mata Pelajaran Simulasi dan Komunikasi Digital (Studi : SMK Muhammadiyah Malang,PTI
1659,Pengembangan Sistem Informasi Manajemen Prakerin,PENGEMBANGAN SISTEM INFORMASI MANAJEMEN PRAKERIN (STUDI PADA: SMK MUHAMMADIYAH 1 MALANG),PTI
1660,PENGEMBANGAN SISTEM INFORMASI MANAJEMEN PRESENSI DAN RAPOT SEKOLAH MENENGAH KEJURUAN BERBASIS WEBSITE DENGAN METODE RATIONAL UNIFIED PROCESS,PENGEMBANGAN SISTEM INFORMASI MANAJEMEN PRESENSI DAN RAPOT SEKOLAH MENENGAH KEJURUAN BERBASIS WEBSITE DENGAN METODE RATIONAL UNIFIED PROCESS,PTI
1661,PENGEMBANGAN SISTEM INFORMASI MANAJEMEN PRESENSI KEGIATAN IBADAH SISWA BERBASIS WEBSITE DENGAN METODE WATERFALL (STUDI KASUS SMK MUHAMMADIYAH 1 MALANG),PENGEMBANGAN SISTEM INFORMASI MANAJEMEN PRESENSI KEGIATAN IBADAH SISWA BERBASIS WEBSITE DENGAN METODE WATERFALL (STUDI KASUS SMK MUHAMMADIYAH 1 MALANG),PTI
1662,"ANALISIS MOTIVASI BELAJAR SISWA DALAM MENGIKUTI PEMBELAJARAN DI KELAS
(Studi Kasus SMK Muhammadiyah 1 Malang)",Pengaruh Keterampilan Berpikir Komputasi Terhadap Motivasi Belajar siswa Pada Mata Pelajaran Dasar Desain Grafis Kelas X Di SMK Muhammadiyah 1 Malang,PTI
1663,Perbandingan Usability Learning Management System Google Classroom dan Edmodo Menggunakan Heuristic Walkthrough (Studi Kasus : SMKN 3 Malang),"PERBANDINGAN USABILITY LEARNING MANAGEMENT SYSTEM EDMODO DAN GOOGLE CLASSROOM MENGGUNAKAN METODE COGNITIVE WALKTHROUGH DAN USER EXPERIENCE QUESTIONNAIRE (UEQ)
(STUDI KASUS: SMKN 3 MALANG)",PTI
1944,"PENGEMBANGAN E-MODUL BELAJAR SELEKSI KONDISI UNTUK MATA PELAJARAN PEMROGRAMAN DASAR MATERI SELEKSI KONDISI BERBASIS ELECTRONIC PUBLICATION (EPUB)
(STUDI KASUS : SISWA KELAS X JURUSAN REKAYASA PERANGKAT LUNAK DI SMK NEGERI 4 MALANG)",PENGEMBANGAN E-MODUL BERBASIS ELECTRONIC PUBLICATION (EPUB) MENGGUNAKAN MODEL PENGEMBANGAN ADDIE PADA MATA PELAJARAN PEMROGRAMAN DASAR DI SMK NEGERI 4 MALANG,PTI
1945,PENGEMBANGAN E-LEARNING PENDAMPING PRAKTIK KERJA INDUSTRI PADA SMK NEGERI 4 MALANG,,PTI
1946,ANALISIS HASIL BELAJAR PENGGUNAAN E-MODUL BELAJAR SELEKSI KONDISI UNTUK MATA PELAJARAN PEMROGRAMAN DASAR MATERI SELEKSI KONDISI (STUDI KASUS : SISWA KELAS X JURUSAN REKAYASA PERANGKAT LUNAK DI SMK NEG,Penerapan Problem Based Learning Berbantuan Lembar Kerja Siswa Untuk Meningkatkan Hasil Belajar Pada Mata Pelajaran Pemrograman Dasar (Studi Pada : SMK Negeri 4 Malang),PTI
1947,"Pengaruh Kompetensi Mengajar Dosen, Sarana Belajar dan Lingkungan Belajar Mahasiswa Terhadap Hasil Belajar Mahasiswa Fakultas Ilmu Komputer ( FILKOM ) Universitas Brawijaya Pada Mata Kuliah Pemrograma","Pengaruh Kompetensi Mengajar Dosen, Sarana Belajar dan Lingkungan Belajar Mahasiswa Terhadap Hasil Belajar Mata Kuliah Pemrograman Dasar Pada Jurusan Sistem Informasi FILKOM UB",PTI
1948,Pengembangan Sistem Informasi Penilaian Hasil Belajar Siswa Menggunakan Metode Waterfall (Studi Kasus: SMKS YP 17-2 Malang),"PENGEMBANGAN LAYANAN SISTEM INFORMASI MANAJEMEN PENILAIAN HASIL BELAJAR SISWA PADA SEKOLAH MENENGAH KEJURUAN (SMK)
(Studi pada SMKS YP 17-2 Malang)",PTI
